FTeam,Player,TeamAbbr,Position,DraftRound,DraftPick,LastYearRank,ProjRank
Tyreek’s Left Knee,Jake Ferguson,Dal,TE,9.0,10.0,125,146
Tyreek’s Left Knee,Deebo Samuel Sr.,SF,WR,7.0,10.0,114,154
Tyreek’s Left Knee,Lamar Jackson,Bal,QB,2.0,5.0,30,53
Tyreek’s Left Knee,Quentin Johnston,LAC,WR,,,128,89
Tyreek’s Left Knee,Jeremy McNichols,Was,RB,,,285,"2,514"
Tyreek’s Left Knee,Kayshon Boutte,Hou,WR,,,194,177
Tyreek’s Left Knee,Kyle Pitts Sr.,Atl,TE,12.0,5.0,90,79
Tyreek’s Left Knee,Keenan Allen,Ind,WR,11.0,10.0,135,147
Tyreek’s Left Knee,Chris Boswell,Pit,K,15.0,9.0,121,270
Tyreek’s Left Knee,Jaguars,Jax,DEF,,,48,198
Sutton Ducks,Matthew Stafford,LAR,QB,,,1,115
Sutton Ducks,Courtland Sutton,Den,WR,5.0,2.0,73,100
Sutton Ducks,Troy Franklin,Den,WR,,,131,299
Sutton Ducks,Bijan Robinson,Atl,RB,1.0,2.0,13,2
Sutton Ducks,Travis Etienne Jr.,NO,RB,6.0,13.0,38,40
Sutton Ducks,Darren Waller,Car,TE,,,255,248
Sutton Ducks,Chris Olave,NO,WR,5.0,13.0,42,24
Sutton Ducks,Rashee Rice,KC,WR,7.0,2.0,167,39
Sutton Ducks,Tez Johnson,TB,WR,,,251,"2,094"
Sutton Ducks,Xavier Legette,Car,WR,10.0,3.0,261,268
Sutton Ducks,Sam LaPorta,Det,TE,4.0,13.0,234,70
Sutton Ducks,Jordan Love,GB,QB,10.0,13.0,22,125
Sutton Ducks,Joe Burrow,Cin,QB,3.0,2.0,86,64
Sutton Ducks,Brandon Aubrey,Dal,K,8.0,13.0,70,153
Sutton Ducks,Steelers,Pit,DEF,12.0,8.0,69,199
I’m Sorry Smith-Jaxon,Jared Goff,Det,QB,13.0,12.0,8,117
I’m Sorry Smith-Jaxon,Jaxon Smith-Njigba,Sea,WR,3.0,14.0,18,8
I’m Sorry Smith-Jaxon,DeVonta Smith,Phi,WR,4.0,1.0,93,26
I’m Sorry Smith-Jaxon,Jaylen Warren,Pit,RB,5.0,14.0,58,69
I’m Sorry Smith-Jaxon,Kyren Williams,LAR,RB,11.0,14.0,37,27
I’m Sorry Smith-Jaxon,Evan Engram,Den,TE,7.0,14.0,253,286
I’m Sorry Smith-Jaxon,Calvin Austin III,NYG,WR,,,266,388
I’m Sorry Smith-Jaxon,Mason Taylor,NYJ,TE,15.0,14.0,274,314
I’m Sorry Smith-Jaxon,Emari Demercado,Dal,RB,,,311,343
I’m Sorry Smith-Jaxon,Caleb Williams,Chi,QB,8.0,1.0,6,72
I’m Sorry Smith-Jaxon,Sterling Shepard,Hou,WR,,,280,"2,084"
I’m Sorry Smith-Jaxon,Sean Tucker,TB,RB,,,231,253
I’m Sorry Smith-Jaxon,Jake Elliott,Phi,K,15.0,10.0,179,347
I’m Sorry Smith-Jaxon,Lions,Det,DEF,,,133,237
I’m Sorry Smith-Jaxon,Vikings,Min,DEF,10.0,1.0,52,189
Let's Ride,Sam Darnold,Sea,QB,,,21,156
Let's Ride,Jayden Higgins,Hou,WR,10.0,9.0,191,365
Let's Ride,Cooper Kupp,Sea,WR,8.0,8.0,221,263
Let's Ride,Kyle Monangai,Chi,RB,12.0,11.0,144,110
Let's Ride,Samaje Perine,Cin,RB,,,272,230
Let's Ride,Taysom Hill,NO,TE,,,359,373
Let's Ride,Jayden Reed,GB,WR,9.0,9.0,354,94
Let's Ride,Brock Bowers,LV,TE,5.0,6.0,132,19
Let's Ride,Xavier Worthy,KC,WR,4.0,14.0,229,131
Let's Ride,Devin Singletary,NYG,RB,,,210,276
Let's Ride,Jaylen Wright,Mia,RB,14.0,13.0,332,255
Let's Ride,Brashard Smith,KC,RB,15.0,7.0,315,335
Let's Ride,Travis Hunter,Jax,WR,5.0,3.0,320,187
Let's Ride,Tyler Loop,Bal,K,,,136,202
Let's Ride,Giants,NYG,DEF,,,162,267
Let Kelce Cook,Brock Purdy,SF,QB,8.0,4.0,44,101
Let Kelce Cook,Christian Watson,GB,WR,,,180,52
Let Kelce Cook,Wan'Dale Robinson,Ten,WR,12.0,4.0,83,109
Let Kelce Cook,Tony Pollard,Ten,RB,3.0,6.0,85,81
Let Kelce Cook,Tyrone Tracy Jr.,NYG,RB,4.0,4.0,134,232
Let Kelce Cook,Juwan Johnson,NO,TE,,,138,134
Let Kelce Cook,Kareem Hunt,KC,RB,13.0,11.0,146,330
Let Kelce Cook,Josh Downs,Ind,WR,9.0,7.0,195,88
Let Kelce Cook,Rashid Shaheed,Sea,WR,10.0,10.0,163,132
Let Kelce Cook,Shedeur Sanders,Cle,QB,,,211,305
Let Kelce Cook,Darius Slayton,NYG,WR,,,248,298
Let Kelce Cook,Elic Ayomanor,Ten,WR,14.0,4.0,212,323
Let Kelce Cook,Cam Skattebo,NYG,RB,8.0,2.0,178,48
Let Kelce Cook,Cairo Santos,Chi,K,,,157,218
Let Kelce Cook,Dolphins,Mia,DEF,,,149,"2,072"
Pukachu,Bo Nix,Den,QB,6.0,1.0,9,105
Pukachu,Puka Nacua,LAR,WR,8.0,3.0,17,4
Pukachu,Drake London,Atl,WR,1.0,14.0,88,20
Pukachu,Josh Jacobs,GB,RB,1.0,12.0,41,126
Pukachu,Saquon Barkley,Phi,RB,1.0,4.0,49,10
Pukachu,Trey McBride,Ari,TE,2.0,1.0,32,34
Pukachu,Omarion Hampton,LAC,RB,2.0,3.0,175,16
Pukachu,Chris Godwin Jr.,TB,WR,9.0,11.0,275,82
Pukachu,Ladd McConkey,LAC,WR,5.0,12.0,122,41
Pukachu,J.J. McCarthy,Min,QB,9.0,12.0,123,"2,091"
Pukachu,Jerry Jeudy,Cle,WR,6.0,11.0,214,196
Pukachu,Trey Benson,Ari,RB,7.0,13.0,384,"2,098"
Pukachu,Cameron Dicker,LAC,K,14.0,3.0,87,178
Pukachu,Patriots,NE,DEF,,,54,200
Pukachu,Buccaneers,TB,DEF,,,99,273
Griddy Little Liars,Dak Prescott,Dal,QB,9.0,3.0,5,83
Griddy Little Liars,Emeka Egbuka,TB,WR,4.0,12.0,91,43
Griddy Little Liars,Jakobi Meyers,Jax,WR,6.0,12.0,140,127
Griddy Little Liars,Kenneth Walker III,KC,RB,2.0,12.0,80,11
Griddy Little Liars,RJ Harvey,Den,RB,3.0,3.0,72,108
Griddy Little Liars,Dallas Goedert,Phi,TE,8.0,12.0,111,116
Griddy Little Liars,Michael Carter,Ten,RB,,,241,369
Griddy Little Liars,Jordan Addison,Min,WR,7.0,3.0,183,95
