Player Name,Pos,Pick,Team
Braelon Allen,RB,89,NYJ
Baker Mayfield,QB,90,TB
Matthew Golden,WR,91,GB
Evan Engram,TE,92,Den
Jauan Jennings,WR,93,SF
Deebo Samuel,WR,94,Was
Kaleb Johnson,RB,95,Pit
Travis Etienne Jr.,RB,96,Jax
David Njoku,TE,97,Cle
Kyler Murray,,98,
Drake Maye,QB,99,NE
Jacory Croskey-Merritt,RB,100,Was
Tank Bigsby,RB,101,Jax
Justin Fields,,102,
Caleb Williams,QB,103,Chi
Austin Ekeler,RB,104,Was
Justin Herbert,QB,105,LAC
Khalil Shakir,WR,106,Buf
Josh Downs,,107,
Rashid Shaheed,WR,108,NO
Bhayshul Tuten,RB,109,Jax
Jayden Reed,WR,110,GB
Jordan Love,QB,111,GB
Javonte Williams,RB,112,Dal
Jared Goff,QB,113,Det
Michael Pittman Jr.,WR,114,Ind
Jake Ferguson,TE,115,Dal
Rhamondre Stevenson,RB,116,NE
Tyler Warren,TE,117,Ind
Dallas Goedert,TE,118,Phi
Dylan Sampson,RB,119,Cle
Dalton Kincaid,TE,120,Buf
Cooper Kupp,WR,121,Sea
Keon Coleman,WR,122,Buf
Jerome Ford,RB,123,Cle
Rachaad White,RB,124,TB
J.J. McCarthy,QB,125,Min
Rashod Bateman,WR,126,Bal
Chris Godwin Jr.,WR,127,TB
Colston Loveland,TE,128,Chi
C.J. Stroud,QB,129,Hou
Darnell Mooney,,130,
Tyjae Spears,RB,131,Ten
Trevor Lawrence,QB,132,Jax
Christian Kirk,WR,133,Hou
Hunter Henry,TE,134,NE
Cam Skattebo,RB,135,NYG
Bryce Young,QB,136,Car
Trey Benson,RB,137,Ari
Ray Davis,RB,138,Buf
Nick Chubb,RB,139,Hou
Keenan Allen,WR,140,LAC
Brandon Aiyuk,WR,141,SF
Michael Penix Jr.,QB,142,Atl
Jaydon Blue,RB,143,Dal
Chig Okonkwo,TE,144,Ten
Geno Smith,QB,145,LV
Tyler Allgeier,RB,146,Atl
Brian Robinson Jr.,RB,147,SF
Jayden Higgins,WR,148,Hou
Cedric Tillman,WR,149,Cle
Joshua Palmer,WR,150,Buf
Matthew Stafford,QB,151,LAR
Tua Tagovailoa,QB,152,Mia
Zach Ertz,TE,153,Was
Marvin Mims Jr.,,154,
Najee Harris,RB,155,LAC
DeMario Douglas,WR,156,NE
Rico Dowdle,RB,157,Car
Kyle Pitts Sr.,TE,159,Atl
Jonnu Smith,TE,160,Pit
Joe Mixon,RB,161,Hou
Luther Burden III,WR,162,Chi
Brenton Strange,TE,163,Jax
Chris Rodriguez Jr.,RB,164,Was
Will Shipley,RB,167,Phi
Wan'Dale Robinson,WR,168,NYG
Xavier Legette,WR,170,Car
Roschon Johnson,RB,171,Chi
Hollywood Brown,WR,174,KC
Quinshon Judkins,RB,175,Cle
Ollie Gordon II,RB,176,Mia
Cam Ward,QB,177,Ten
Romeo Doubs,WR,178,GB
Blake Corum,RB,179,LAR
Isaac Guerendo,RB,180,SF
Woody Marks,RB,182,Hou
Jalen Coker,WR,183,Car
Kyle Monangai,RB,184,Chi
Tre' Harris,WR,185,LAC
Jaylen Wright,RB,189,Mia
Adam Thielen,WR,191,Min
Kyle Williams,WR,192,NE
Tory Horton,WR,195,Sea
Aaron Rodgers,QB,198,Pit
Jarquez Hunter,RB,199,LAR
Theo Johnson,TE,200,NYG
DJ Giddens,RB,202,Ind
Tahj Brooks,RB,204,Cin
Keaton Mitchell,RB,205,Bal
Sean Tucker,RB,206,TB
MarShawn Lloyd,RB,207,GB
Pat Bryant,WR,208,Den
Elic Ayomanor,WR,209,Ten
Alec Pierce,WR,210,Ind
Dont'e Thornton Jr.,WR,211,LV
Jalen Royals,WR,213,KC
Miles Sanders,RB,215,Dal
Isaac TeSlaa,WR,216,Det
Mason Taylor,TE,219,NYJ
Sam Darnold,QB,222,Sea
Kenneth Gainwell,RB,223,Pit
Darren Waller,TE,225,Mia
Kendre Miller,RB,227,NO
Pat Freiermuth,TE,228,Pit
Dameon Pierce,RB,229,Hou
Dalton Schultz,TE,230,Hou
Ja'Tavion Sanders,TE,231,Car
Brashard Smith,RB,232,KC
Mike Gesicki,TE,233,Cin
Elijah Arroyo,TE,235,Sea
Quentin Johnston,WR,236,LAC
Roman Wilson,WR,237,Pit
Troy Franklin,WR,238,Den
Michael Wilson,WR,241,Ari
Isaiah Likely,TE,242,Bal
DeAndre Hopkins,WR,243,Bal
Daniel Jones,QB,245,Ind
Adonai Mitchell,WR,247,Ind
Jaylin Noel,WR,248,Hou
Malik Washington,WR,249,Mia
Amari Cooper,WR,250,LV
Harold Fannin Jr.,TE,251,Cle
KeAndre Lambert-Smith,WR,252,LAC
Dyami Brown,WR,254,Jax
Jordan James,RB,255,SF
Darius Slayton,WR,256,NYG
Cade Otton,TE,258,TB
Kareem Hunt,RB,261,KC
Tyler Higbee,TE,262,LAR
Ty Johnson,RB,263,Buf
Juwan Johnson,TE,264,NO
Jack Bech,WR,265,LV
Devaughn Vele,WR,266,NO
Jaxson Dart,QB,267,NYG
Andrei Iosivas,WR,268,Cin
Kayshon Boutte,WR,269,NE
Chris Brooks,RB,270,GB
Justice Hill,RB,272,Bal
Trevor Etienne,RB,273,Car
Devin Neal,RB,274,NO
Devin Singletary,RB,275,NYG
Dontayvion Wicks,WR,276,GB
Jordan Whittington,WR,277,LAR
Calvin Austin III,WR,279,Pit
Josh Reynolds,WR,282,NYJ
Jaleel McLaughlin,RB,283,Den
Ray-Ray McCloud III,WR,284,Atl
Cole Kmet,TE,286,Chi
Terrance Ferguson,TE,287,LAR
Russell Wilson,QB,288,NYG
Anthony Richardson Sr.,QB,289,Ind
Noah Gray,TE,290,KC
Raheem Mostert,RB,291,LV
Tyler Lockett,WR,292,Ten
Tyler Conklin,TE,293,LAC
Spencer Rattler,QB,294,NO
Elijah Mitchell,RB,295,KC
George Holani,RB,296,Sea
Isaiah Davis,RB,297,NYJ
Zamir White,RB,299,LV
Antonio Gibson,RB,300,NE
Noah Brown,WR,304,Was
Jamari Thrash,WR,305,Cle
Oronde Gadsden,TE,306,LAC
Ben Sinnott,TE,307,Was
AJ Barner,TE,308,Sea
Michael Mayer,TE,309,LV
Tyler Shough,QB,310,NO
KaVontae Turpin,WR,311,Dal
Tre Tucker,WR,312,LV
Emanuel Wilson,RB,313,GB
Jalen McMillan,WR,314,TB
Brandin Cooks,WR,315,NO
Christian Watson,WR,316,GB
Jermaine Burton,WR,317,Cin
Joe Flacco,QB,318,Cle
Tutu Atwell,WR,319,LAR
Parker Washington,WR,320,Jax
Nick Westbrook-Ikhine,WR,321,Mia
Jaylin Lane,WR,322,Was
Arian Smith,WR,323,NYJ
Will Dissly,TE,324,LAC
Elijah Moore,WR,325,Buf
Greg Dulcich,TE,326,Mia
Jahan Dotson,WR,327,Phi
Luke McCaffrey,WR,328,Was
Zay Jones,WR,329,Ari
Jalen Milroe,QB,330,Sea
Gunnar Helm,TE,331,Ten
Khalil Herbert,RB,332,Ind
LeQuint Allen Jr.,RB,333,Jax
Jalen Tolbert,WR,334,Dal
Phil Mafah,RB,335,Dal
Ty Chandler,RB,336,Min
Kalel Mullings,RB,337,Ten
Dillon Gabriel,QB,338,Cle
Hassan Haskins,RB,339,LAC
Craig Reynolds,RB,340,Det
A.J. Dillon,RB,341,Phi
M. Valdes-Scantling,WR,342,SF
Dawson Knox,TE,343,Buf
